,transcript
39,"DR. ROMER:  I think, overall, this bill is genuinely going to slow the growth rate of cost.  You know, we did a study, we think it will genuinely slow the growth rate of cost by about 1 percentage point per year.  And, again, that is what experts across the ideological spectrum
are saying.  You know, we did a comparison of what was in the CBO report for more than a year ago of game-changers, the things that would slow the growth rate of cost.  Almost every one of those ended up in this bill."
40,"MR. GREGORY:  I want to ask you about a phenomenon that people are talking about this weekend that has to do with consumers, and that's Apple's new product, the iPad.  There's lines around the country of people, you know, commerce in action, right?  People are buying these products.  But it leads to a question as to whether you think, as an economist, that consumers can actually drive a recovery that is sustained."
41,"DR. ROMER:  You know, I think this is going to be a different kind of recovery.  I think it's not going to be one where consumers come roaring back as the engine of growth.  They have been through a very rough two years, they've seen their house prices come down.  So we--you know, we see solid consumer growth, it's definitely coming back.  Their confidence is back up. But this is not going to be a recovery that's fueled by people going out, maxing out their credit cards again.  I think we've been, you know, I think we're in a different world.  It's going to need to come from our exports, that's why the president's been pushing his export initiative.  It's going to need to come from business investment, and that's why measures like a zero capital gains for small businesses or tax incentives for investment, I think those are the right policy to make sure we get a healthy kind of growth going forward."
42,"MR. GREGORY:  Before I let you go, a couple of other important topics. One, financial regulation, the new rules of the road for Wall Street.  Do you think a bill will be successful this year since you've suffered some setbacks with Republicans starting to, to back away from support of it?"
43,"DR. ROMER:  I think--yes, I think it will.  I think, think it has to.  I think people from both parties realize that we do need some sensible rules for the road because we don't ever want to go through this again. I think we're very confident that we'll be able to pick up some
Republican support."
44,"MR. GREGORY:  Also, China.  Will this administration take China on and accuse it outright of manipulating its currency in a way that hurts the U.S. exports but also costs us jobs?"
45,"DR. ROMER:  I mean, it--certainly the exchange rate is an issue, not just for the United States, but for Chinese consumers and for actually other countries. A lot of other emerging market economies say that what's happening with China's exchange rate is, is harmful to them.  You know, we have a series of meetings over the next three months with both the president, the secretary of the Treasury, and this is absolutely going to be an issue that's high on the agenda."
46,MR. GREGORY:  Is China manipulating its currency? 
47,"DR. ROMER:  You know, I think that's going to be s omething that, that the secretary of the Treasury would, would speak on, but we're going to absolutely..."
48,"MR. GREGORY:  But, but as a matter of substance, can't you just say yes or no?  Why can't you say whether--I mean, it either is or it's not."
49,"DR. ROMER:  You know, we think it needs to be more influenced by market forces. I think there's no question of that.  The secretary of the Treasury and the president have both said that.  We're going to be working to, to get the kind of result that we want, which is something
more in alignment."
50,"MR. GREGORY:  Finally, a political question, and I know you're not involved in the politics, and yet, you know, politicians will campaign on promises and facts, and a lot of times they might have to turn to the economists and say, ""Is this a fair thing to be campaigning on?"" Should Democrats be campaigning this fall, taking some credit for turning the economy around?"
51,"DR. ROMER:  Unquestionably.  I think the policies that have been put in place, they were tough decisions on everything from the Recovery Act to the stress test, to the financial rescue.  Every one of those was absolutely essential, and it's the reason we are in a much more hopeful
place today than we were a year ago.  So I think they should be out there very strongly saying that they made the tough choices and we're starting to see the benefits."
52,"MR. GREGORY:  Dr. Romer, happy Easter, thank you very much for being here."
53,DR. ROMER:  Same to you.
54,"MR. GREGORY:  And up next, the terror threat.  New airport screening rules and the growing threats lurking inside this country.  Our guests: former Secretary of Homeland Security Michael Chertoff; the Senate's Homeland Security Committee chair, Senator Joe Lieberman; and a member of the House Homeland Security Committee, Congressman--Congresswoman Jane Harman."
55,"Then the question of presidential leadership in the political landscape for 2010.  Insights from two magazine editors and authors of the newly published books, The New Yorker's David Remnick and Time magazine's Rick Stengel, only here on MEET THE PRESS."
56,(Announcements)
57,"MR. GREGORY:  The terror threat, a look at our security both at home and abroad, after this brief commercial break."
58,(Announcements)
59,"MR. DAVID GREGORY:  We are back here on MEET THE PRESS where we will have a discussion coming up on President Obama and the politics of 2010 with our roundtable; that's in a few minutes.  But first, a closer look at security both here and abroad with the former secretary of Homeland Security, Michael Chertoff, and two key members of Congress, Representative Jane Harman and Senator Joe Lieberman. Congresswoman Harman also on the Intelligence Subcommittee of the Homeland Security Committee."
60,"So a few things we want to address, including some developing news from earlier today.  In Baghdad, suicide bombers have struck.  Some 30 dead after attacks on several embassies--the Egyptian, Iranian, and German embassies in central Baghdad."
61,"And, Senator Lieberman, a reminder as the U.S. prepares to disengage its combat troops from Iraq.  And after an election where there's still a very shaky coalition about the way forward, what concerns you seeing this?"
62,"SEN. JOE LIEBERMAN (I-CT):  Well, I think you, you've got to look at the good news first.  There, there was an election there, the, the secular parties, the, the parties that Iran didn't want to succeed did better than the other parties.  So there's a lot of good news happening in Iraq. I, I think what you've got to see these bombings as is a desperate attempt by the people who don't want a unified Iraq that's independent of Iran and self-governing and self-protecting to take hold."
63,"But it is a warning to us.  We're on a path now, which is an extraordinary positive path, to, to bring down our troop levels to 50,000 by September 1st. There were up way into 150,000, 160,000 not so long ago.  But we've got to do it methodically and make sure that the Iraqis
can protect themselves and all that they've gained as a result of all that we've helped them do in the last few years.  So, you know, this is not over, but tremendous progress militarily, politically, economically is being made in Iraq today."
64,"MR. GREGORY:  And, and, Congresswoman, this question of capacity for the new government in terms of securing the country is one that still is going to be asked again and again, not only when there's political instability, but when you see events like this."
65,"REP. JANE HARMAN (D-CA):  That's true.  But I agree with Joe Lieberman that this is basically a success story, and I applaud the Obama government for withdrawing our troops on a reasonable schedule, which I think tells the Iraqis that they have to manage their future.  That's a message we need to send, by the way, to the, the folks in Afghanistan as well, where I'm very troubled by the comments of Hamid Karzai in the last several days."
66,"MR. GREGORY:  And we'll get--we're going to get to that in a few minutes. I want to talk about the terror threat from abroad, though, and bring in Secretary Chertoff here about these new screening rules that just came about on Friday where individuals coming from other countries are going to be evaluated a little bit differently.  And The New York Times kind of summarized how the intelligence will be used in order to identify people who need additional screenings.  This is how the Times reported it.  ""The intelligence-based security system is devised to raise flags about travelers whose names do not appear on a no-fly watch list,"" which was the issue on the Christmas Day plot, ""but whose travel patterns or personal traits create suspicions.  The system is intended to pick up fragments of information - family name, nationality, age or even partial passport number - and match them against intelligence reports to sound alarm bells before a passenger boards a plane."""
67,"Secretary Chertoff, I should just point out in full disclosure, you now work for companies in homeland security area that are producing some of the homeland security technology that may be brought to bear.  That said, what's the impact of these new rules?"
68,"MR. MICHAEL CHERTOFF:  What this basically does, David, is it takes a technique that we have used at the border for the last two or three years, and it pushes it out so that it will be applied not when people arrive in the U.S. but when people board planes overseas.  So it's a good thing.  We have a lot of experience using this kind of information.  It has worked exceptionally well when people arrive at the airport.  And so the idea of pushing it out before people board makes a lot of sense.  The critical issue here is will our allies and other countries overseas be
willing to implement the plan the way we have laid it out?  If they are willing to do that, it will be a win-win for everybody. "
69,"MR. GREGORY:  So you've got to be able to share intelligence with foreign governments to sort of factor in to a kind of matrix so that you're not just profiling somebody based on where they're from, but based on certain red flags in the system that say, ""Hey, I better, I better correlate this""?"
70,"REP. HARMAN:  If I could add to that, after the Christmas bomb plot, we, I think, in linear fashion, targeted 14 countries and said everyone coming here from those 14 countries will get secondary screening.  I think that that was a message to those countries that was the wrong
message.  Janet Napolitano, our Homeland Security secretary, who has very ably succeeded the able Michael Chertoff, has traveled extensively to foreign governments, and I think this plan was worked out with them; and it is an intelligence-based screening system rather than a name based screening system.  We are adding to our no-fly list and our secondary list.  But this is the way we will capture folks who don't fit that--the, the stereotype of a Muslim male between 20 and 40. "
71,MR. GREGORY:  Mm-hmm.
72,"REP. HARMAN:  Let's understand that terrorists come in all shapes and sizes, and they're not even all Muslim.  I resent the fact, by the way, that Jihad Jane took my name.  It wasn't her given name.  But that's my point.  They come in the U.S., and they're all over the world."
73,MR. GREGORY:  Yeah.
74,"REP. HARMAN:  And it seems to me that, going forward, we're going to be doing something much more effective."
75,"MR. GREGORY:  Senator Lieberman, let me ask you about another big headline this week, and that was the horror in Russia with those railroad--railway attacks carried out by extremist terrorist groups.  And it was something that obviously would reverberate here back in the U.S.
The cover of the New York Post showing an increased police presence on New York subways as a response to that.  And the president talked a little bit about what the government is doing to head off a kind of railway attack when he appeared on the ""Today"" program this week."
76,"(Videotape, Tuesday)"
77,"PRES. BARACK OBAMA:  We have been on top of the issue of rail security and subway security for quite some time.  We constantly monitor it and try to figure out how can we improve what we're doing.  It is obviously a significant concern.  It's not restricted to subways.  It's--you know, same thing could happen at a bus terminal.  And if you've got somebody who is determined to kill themselves and kill other people with them, that is always a challenge for any government."
78,(End videotape)
79,"MR. GREGORY:  What's the nature of the threat, Senator, here in America?"
80,"SEN. LIEBERMAN:  The, the threat is real to, to non-aviation transportation. Look, all you got to do is look around the world, not only to the terrible tragedy in Russia last week, but remember the train bombings in London and, and Madrid and earlier in Mumbai.  So these are
targets.  And, and we know that, and we're doing a lot, our government is, working with state and local officials to--both in ways that are visible and ways that are not visible--to raise our defenses on trains and subways and buses.  But, David, to me, and I've--we, we, in our committee, we've done hearings on this, and I continue to believe that this, that, that non-aviation is the vulnerable part of our transportation system, and we, frankly, need to give it more than we're giving it now to protect the American people.  I worry about this."
81,"MR. GREGORY:  Secretary Chertoff, I want to get to some domestic terror concerns.  Before I do that, I want to talk about another element of terrorism.  Before you were secretary of Homeland Security, you were head of the criminal division in the Justice Department."
82,MR. CHERTOFF:  Yeah.
83,"MR. GREGORY:  And so this issue of civilian trials for terror suspects is one that you're quite familiar with.  Now, clearly, Khalid Sheikh Mohammed, the alleged mastermind of 9/11, is not going to be tried in New York.  It likes he's going to be tried in a military tribunal.  The question is where, whether it's Guantanamo Bay or not.  Now, you actually fought, correct me if I'm wrong, to have Zacarias Moussaoui tried in civilian court."
84,MR. CHERTOFF:  Right.
85,MR. GREGORY:  He was thought to be the 20th hijacker.
86,MR. CHERTOFF:  Mm-hmm.
87,MR. GREGORY:  Where do you come down on what the administration ought to be doing next?
88,"MR. CHERTOFF:  You know, generally, of course, our--my overall approach is use all the tools.  Everything should be on the table for every circumstance. That being said, the general approach we took when I was head of criminal was, if someone was caught in the U.S., at the end of the day, they wound up being tried in a U.S. court for a whole lot of practical and legal reasons, including the fact that it's easy to get the evidence if someone's acting in the United States itself.  It doesn't mean you have to give them Miranda warnings, but it does mean you could put them ultimately through the system. Generally, the view was if someone was caught overseas and they weren't an American, we didn't bring them into a U.S. court because there are huge obstacles to gathering evidence and some of the process issues when you apprehend someone in a battlefield.  So, without laying down an ironclad rule, my general approach is catch them here, try them here, catch them overseas, put them in a military commission."
89,MR. GREGORY:  So you think its OK to have them in a civilian court?
90,"MR. CHERTOFF:  To, to put who in a civilian court?"
91,MR. GREGORY:  Like Khalid Sheikh Mohammed.
92,"MR. CHERTOFF:  I, I would, I would advise against it, frankly.  I think that the evidence collection issues and some of the legal issues you'll find..."
93,MR. GREGORY:  Mm-hmm.
94,"MR. CHERTOFF:  ...even picking a jury, if you're going to set this up in a military base, will be very problematic.  So I, I, I think it's a very, very difficult way to go to take him into a civilian court."
95,MR. GREGORY:  Congresswoman?
96,"REP. HARMAN:  I think our federal court system has been the linchpin of our ability to convict people charged with terrorism-related crimes since 9/11. Over 500 people have been charged, over 300 have pleaded guilty, and they're all safely behind bars for life.  And I think that if KSM
were tried in a federal court, I would predict he would be convicted and possibly executed."
97,"MR. GREGORY:  What--if, if you stand behind our, our system of law in this country, then why did the attorney general go out there and say he would never be released even if he were acquitted.  Is that standing up for United States jurisprudence?"
98,"REP. HARMAN:  Well, my view is that everyone still at Gitmo, there are 183 people, should be tried either in U.S. courts, including military commissions, if that, for some reason, is if we revise the procedures there and they can withstand legal challenge, or tried abroad and incarcerated.  I don't think that we should waive the rule of law for anybody.  And I don't think that preventive detention is necessary in the United States of America."
99,"MR. GREGORY:  OK.  I want, I want to move on because I want to get to some domestic security threats.  Senator Lieberman..."
100,"SEN. LIEBERMAN:  David, I want..."
101,"MR. GREGORY:  Senator, yes, Senator Lieberman?  You just want to get..."
102,SEN. LIEBERMAN:  I just want to get in here real quickly.
103,MR. GREGORY:  You want to get on this?  Go ahead.
104,"SEN. LIEBERMAN:  Yeah, real, real quickly.  Look, we're at war.  We were attacked on 9/11.  And I think when you're at war, even though this is a different kind of war, people you capture, enemies who are aiming to attack you or have, in fact, attacked you, ought to be tried according to the rules of war.  It's not that we're not going to have the rule of law, it's which rule of law.  And so I think that the Christmas Day bomber, Hasan at Fort Hood, they're as much enemies of ours and soldiers in the war of Islamist extremism against us as the people we capture and, and put into prisoner of war camps in Afghanistan or Iraq."
105,MR. GREGORY:  All right.  I want to...
106,SEN. LIEBERMAN:  And we make a mistake when we don't do that.
107,"MR. GREGORY:  I want to--this, this debate will continue and--certainly until the president makes a decision..."
108,SEN. LIEBERMAN:  Right.
109,MR. GREGORY:  ...on what's going to happen with KSM.
110,"I want to turn to the domestic threat.  And there's been a lot of developments about this more recently, including this Christian militia, the Hutatree***(as spoken)***militia in Michigan facing charges of a violent plot to overthrow the government.  This is from their Web site, where they showed some training. Mike Isikoff writes in Newsweek's blog  about the conditions under which this is happening.  ""In some respects, the increase in such violent hate groups as the Hutaree appears reminiscent of the surge in militia activity that preceded the '95 Oklahoma City bombing.  Just this month, the Southern Poverty Law Center reported that it had tracked an explosion in extremist, anti-government `Patriot' groups, fueled in large part by anger over the economy and Barack Obama's presidency.  The number identifiable Patriot groups increased 244 percent, from 149 in 2008 to 512 in 2009."""
111,"Senator Lieberman, back to you.  In this highly charged political atmosphere, where you've got so much passion, so much disagreement, this takes it, of course, to a different level.  But we're also operating in a recession and at a time where there's a lot of anger at Washington.  How has the nature of that threat escalated, in your view?"
112,"SEN. LIEBERMAN:  Well, the threat has definitely escalated.  And all the conditions that you mentioned, David, are there to encourage people. Look, I would say a word of caution to my colleagues in both political parties and, frankly, in the media.  The level of discourse about our
politics and about our country are so extreme and so incendiary that if you're dealing with people who may, may not be clicking on all cylinders and, and may have vulnerabilities personally, there's a danger that they're going to do what this group of militia planned to do this week. I would not overstate this threat.  It is not as significant as the global threat of Islamist extremism, but it is real.  And I want to assure the American people, from where I sit as the chairman of the Senate Homeland Security Committee, that your government is taking this militia threat very seriously.  The FBI is on top of this. That's why, through good work and informants, they stopped this Hutaree group before they had a chance to do what they wanted to do, which is to attack law enforcement officers, to try to..."
113,MR. GREGORY:  Right.
114,SEN. LIEBERMAN:  ...break down authority in our country.
115,"MR. GREGORY:  Right.  And you had a--Congresswoman, you also had a threat to, to governors as well, you know, a letter telling them that they needed to step down."
116,"REP. HARMAN:  That's right.  But the other troubling thing about this is that group was going to import the terror tactics used by al-Qaeda and other groups.  They were going to use IEDs to blow up the funeral procession for these law enforcement officers that they were going to execute.  Let's understand that law enforcement does a wonderful job of keeping this country safe, and without the women and men of law enforcement, who kept our Capitol safe during the protests on, on health care, I think we'd be in much worse trouble.  But the point is that not all terror groups are Muslim groups, and not all of them are al-Qaeda-related.  This is a global problem; and, domestically, we have a growing problem of homegrown terrorism, not just from Muslims."
117,"MR. GREGORY:  Secretary Chertoff, you've seen this from, from your position before.  I mean, look, there are certainly quarters of, you know, of racism around the country with an African-American president, extreme economic anxiety, and a lot of revolution talk out there in this
opposition to policies like health care.  And, you know, people may forget, if you go back to the Oklahoma City bombings, Tim McVeigh first went to Waco not to protest the government's role there, but to protest the Brady gun law.  So this notion of the government doing things to you is a very powerful motivator to some."
118,"MR. CHERTOFF:  Well, you know, you always get fringe groups on both sides of the spectrum, going back, as you say, to Waco and Ruby Ridge in the early '90s, and that culminated, of course, in the Oklahoma City bombing. And then that depressed this a little bit.  But it always lurks in the background.  And we see it also with some of the extreme anti-globalization and animal rights people on the left.  So I think we've learned how to manage this.  I agree with Senator Lieberman, this is not of the order of magnitude of what we see with global terrorism.
But, look, the fact that people can get on the Internet, and they can see the tactics that are being used in Iraq and Afghanistan creates a risk that those will be copycatted here.  And, frankly, we've seen that in Mexico.  In northern Mexico, the criminal groups, which are not 
politically motivated, actually have adopted beheadings and other tactics of terrorism as part of pushing their agenda against President Calderon. "
119,"MR. GREGORY:  All right, before I let everybody go, a couple of quick, you know, foreign policy notes that are most pressing."
120,"Senator Lieberman, you've heard the president say this week that he would like to see sanctions against Iran within weeks.  But that's still been very--a very difficult road.  Do you worry that the U.S. and the West, more generally, is drifting toward war with Iran in some fashion?"
121,"SEN. LIEBERMAN:  Well, I appreciated the president's statement.  And I'll tell you the truth, I worry more that we're not going to do enough to stop Iran from developing a nuclear weapon quickly enough.  I, I believe we're at a turning point in history.  Iran with nuclear weapons is going to mean this world will be a lot less safe than it is today, and there are already threats to our safety every day.  We've never--this is an extremist, expansionist power.  There's never been another country like this with nuclear weapons, and we've got to impose tough sanctions
quickly.  I believe Congress will adopt a tough sanctions bill soon, I hope this month of April."
122,"Secondly, they've got to be tough because, frankly, it's the last chance that we're giving Iran and ourselves not to be left with a choice of either accepting them having nuclear weapons or taking military action. In my opinion, we have to be prepared to take military action to stop the
Iranian nuclear program if they refuse to stop themselves."
123,MR. GREGORY:  Congresswoman...
124,"SEN. LIEBERMAN:  And so far, if you look at the last three or four years, we've had threats, we've had engagement, we've had negotiations; and all the while Iran keeps going forward to build a nuclear weapon and the missiles to deliver them, and that will destabilize..."
125,MR. GREGORY:  OK.
126,"SEN. LIEBERMAN:  ...the entire Middle East, threaten Europe and America."
127,"REP. HARMAN:  This past week I was in Yemen, Qatar and Vienna, where we have a new very strong head of the IAEA, a Japanese man named Amano, who has what he calls a more balanced view and has major concerns about Iran. Why am I saying this?  I think the real test will be what the U.N. will do.  And I think it's good news that Chinese Premier Hu is coming here in two weeks to a terrorism summit with 45 countries, and hopefully that will be a chance for him and President Obama to talk about the U.N., where China and Russia support for multilateral sanctions is key. Congress is on board with strong, debilitating sanctions on a bipartisan basis.  The U.S. will be there.  But it has to be multilateral in order to really be truly debilitating.  And that's what we need to do."
128,"But, by the way, Yemen is now ground zero, in my view, for terror attacks against us.  Al-Awlaki, who is an American-Yemeni who had a role in counseling the Fort Hood shooter and also was involved in training Abdulmutallab, the Christmas bomber, is at large in Yemen.  He's targeted by the Yemenis, they're in lead, but we're helping.  And it will be very good news if we're able to take him out and the al-Qaeda presence in Yemen."
129,"MR. GREGORY:  All right, I'm going to, I'm going to leave it there.  I'll make that the last word.  Thank you all very much."
130,"Coming up next, presidential leadership.  Where does Obama stand after the healthcare debate, and how will he lead his party in this election year? Insights from The New Yorker magazine's David Remnick, author of ""The Bridge,"" and Time magazine's Rick Stengel, author of ""Mandela's Way,"" after this brief station break."
131,(Announcements)
132,"MR. DAVID GREGORY:  We are back with our roundtable this morning, joined by the editors, New Yorker's David Remnick, the author of ""The Bridge: The Life and Rise of Barack Obama,"" as well as Time magazine's Rick Stengel, the author of ""Mandela's Way:  Fifteen Lessons on Life, Love, and Courage."""
133,"Welcome, both of you.  Interesting opportunity to talk about the president's leadership at this stage and where he stands.  Let's look at his approval ratings as he comes out of this healthcare debate, as measured by Gallup:  47 percent approval, 50 percent approval--or
disapproval, I should say.  This has been a pretty tough debate that he's come through, but he has achieved on health care.  Where is he right now, David?"
134,"MR. DAVID REMNICK:  Well, anytime you have 10 percent unemployment, you're not going to have soaring approval.  Anytime the, the economy is troubled in many areas, you're not going to have soaring approval ratings, despite the personal popularity of Barack Obama.  So I think,
you know, he, he's in--he's, he's not in trouble, but he's not going to be able to lift all Democratic votes in November.  It's going, it's going to be a tough road in November."
135,"MR. GREGORY:  And yet you talk about, Rick, you talk about achievement in the first term.  You go back to July of 2008, a Rolling Stone interview that he gave about what would be the marker, the metric for success for a President Obama.  The question was just that, what would the marker that you would lay down be at the end of your first term where you say if this has happened or not happened, I would consider it a negative mark on my governance?  He says, ""If I haven't gotten combat troops out of Iraq, passed universal healthcare insurance, and created a new energy policy that speaks to our dependence on foreign oil and deals seriously with global warming, then we've missed the boat."" He's on a course to significantly achieve at least a couple of those items."
136,"MR. RICK STENGEL:  Right.  He's ringing the bell.  I mean, a couple of weeks ago, remember, he was going to be Jimmy Carter, right, and then health care passed..."
